task_directed_successor_design,governance_penalty,selection_amplification,sd
0.0,0.02,0.07182405847952945,0.00855456355235652
0.0,0.05,0.07016370671854259,0.013387615658235909
0.0,0.1,0.06196301956822331,0.007448552987646252
0.0,0.2,0.039992740830650325,0.004504695953727201
0.0,0.3,0.017810888345300667,0.005009764580638369
0.1,0.02,0.07373098210644405,0.012245621645439986
0.1,0.05,0.06692638244555535,0.008217440425662147
0.1,0.1,0.05485069300280413,0.0069308847551568025
0.1,0.2,0.034471509809129205,0.005107396594085949
0.1,0.3,0.017521167077483017,0.005836450508231882
0.3,0.02,0.0660259111447985,0.01011468587574798
0.3,0.05,0.05812379418497311,0.011932301032755405
0.3,0.1,0.04714379050745478,0.008166891360050454
0.3,0.2,0.028807476688144245,0.0063542258495636935
0.3,0.3,0.014929524467444003,0.005688095521212583
0.6,0.02,0.04765402443785321,0.008370147969301063
0.6,0.05,0.04626092622403873,0.00799061019100332
0.6,0.1,0.03761436526552968,0.008190102831374594
0.6,0.2,0.020642194592114672,0.008563371403346176
0.6,0.3,0.00885632553747225,0.003660286991235048
1.0,0.02,0.026658240287842673,0.005606256177192492
1.0,0.05,0.026167757071991427,0.007240870163318867
1.0,0.1,0.020302906775040326,0.006810269477607895
1.0,0.2,0.010510341082805203,0.003241696928946035
1.0,0.3,0.0047869800394098405,0.002613950865265184
